Account Number,Date,Revenue Amount,Type,Fund,Campaign,Appeal,Primary City,Primary State,Primary ZIP Code
8231,2/18/25,$20.76 ,Recurring Donation Payment,Unrestricted,,,Columbus,OH,43214-4014
2139,2/17/25,$78.30 ,Recurring Donation Payment,Unrestricted,Sam's Fans 2024,,Galena,OH,43021
1566,2/15/25,$52.30 ,Recurring Donation Payment,Unrestricted,Sam's Fans 2024,,Darien,CT,06820-3204
10382,2/15/25,$21.11 ,Recurring Donation Payment,Unrestricted,Sam's Fans 2024,,Columbus,OH,43214
9739,2/15/25,$24.23 ,Recurring Donation Payment,Unrestricted,Sam's Fans 2024,BTJ Website,Dublin,OH,43017
9068,2/15/25,$15.91 ,Recurring Donation Payment,Unrestricted,Sam's Fans 2024,Donation Form Ask,columbus,OH,43235
383,2/15/25,$100.00 ,Recurring Donation Payment,Unrestricted,,,Bremerton,WA,98312
8831,2/14/25,$25.87 ,Recurring Donation Payment,Unrestricted,,,Columbus,OH,43221
10592,2/13/25,"$5,568.00 ",Donation,Unrestricted,2025 Celebrating A Decade of Hope and Healing,,San Diego,CA,92130
8575,2/12/25,$26.31 ,Recurring Donation Payment,Unrestricted,Sam's Fans 2024,,Sammamish,WA,98074
1231,2/12/25,$20.00 ,Recurring Donation Payment,Unrestricted,Sam's Fans 2024,,Edgewater,FL,32132-6942
752,2/12/25,$102.56 ,Recurring Donation Payment,Unrestricted,,,Columbus,OH,43214
9765,2/11/25,$26.31 ,Recurring Donation Payment,Unrestricted,Sam's Fans 2024,Donation Form Ask,Galena,OH,43021
1351,2/11/25,$52.30 ,Recurring Donation Payment,Unrestricted,Sam's Fans 2024,BTJ Website,Columbus,OH,43221
323,2/11/25,$24.23 ,Recurring Donation Payment,Unrestricted,Sam's Fans 2024,BTJ Website,Powell,OH,43065
32,2/11/25,$100.00 ,Recurring Donation Payment,Unrestricted,,,St. James City,FL,33956
193,2/11/25,$30.00 ,Recurring Donation Payment,Unrestricted,,,Columbus,OH,43214-1721
9738,2/10/25,$52.30 ,Recurring Donation Payment,Unrestricted,Sam's Fans 2024,BTJ Website,Columbus,OH,43214
1117,2/10/25,$25.00 ,Recurring Donation Payment,Unrestricted,,,Pleasant Hill,CA,94523-2624
186,2/9/25,$103.24 ,Recurring Donation Payment,Unrestricted,2025 Celebrating A Decade of Hope and Healing,,Columbus,OH,43231
752,2/9/25,$10.91 ,Donation,Nationwide Childen's Hospital,2025 Celebrating A Decade of Hope and Healing,,Columbus,OH,43214
866,2/8/25,$52.30 ,Recurring Donation Payment,Unrestricted,Sam's Fans 2024,,Uniontown,OH,44685
1578,2/6/25,$15.91 ,Recurring Donation Payment,Unrestricted,Sam's Fans 2024,BTJ Website,Fairmont,WV,26554
9719,2/6/25,$51.80 ,Donation,Golisano Children's Hospital,2025 Celebrating A Decade of Hope and Healing,,St James City,FL,33956
61,2/5/25,$25.87 ,Recurring Donation Payment,Unrestricted,,,West Jefferson,OH,43162-9658
1631,2/3/25,$52.30 ,Recurring Donation Payment,Unrestricted,Sam's Fans 2024,,Columbus,OH,43220
9618,2/3/25,$26.31 ,Recurring Donation Payment,Unrestricted,Sam's Fans 2024,,Hilliard,OH,43026
9109,2/3/25,$26.31 ,Recurring Donation Payment,Unrestricted,Sam's Fans 2024,,Powell,OH,43065
590,2/3/25,$10.71 ,Recurring Donation Payment,Unrestricted,Sam's Fans 2024,,Washington,DC,20007
2543,2/3/25,$10.53 ,Recurring Donation Payment,Unrestricted,,,Columbus,OH,43235-6114
394,2/2/25,$21.11 ,Recurring Donation Payment,Unrestricted,Sam's Fans 2024,,"Columbus, Ohio",OH,43214
9736,2/1/25,$73.10 ,Recurring Donation Payment,Unrestricted,Sam's Fans 2024,Donation Form Ask,Columbus,OH,43220
2544,2/1/25,$51.43 ,Recurring Donation Payment,Unrestricted,,,Columbus,OH,43235
5,2/1/25,$51.43 ,Recurring Donation Payment,Unrestricted,,,Columbus,OH,43235
91,2/1/25,$5.00 ,Recurring Donation Payment,Unrestricted,,,Goodyear,AZ,85395
2264,2/1/25,$15.64 ,Recurring Donation Payment,Unrestricted,,,Uniontown,OH,44685-7583
8001,2/1/25,$20.00 ,Recurring Donation Payment,Unrestricted,,,Oak Island,NC,28461
10443,1/30/25,$50.00 ,Recurring Donation Payment,Unrestricted,Sam's Fans 2024,BTJ Website,DUBLIN,OH,43016
9735,1/30/25,$24.23 ,Recurring Donation Payment,Unrestricted,Sam's Fans 2024,BTJ Website,Columbus,OH,43235
9722,1/29/25,$26.31 ,Donation,Unrestricted,2025 Celebrating A Decade of Hope and Healing,,Saint James City,FL,33956
825,1/29/25,$52.30 ,Recurring Donation Payment,Unrestricted,2025 Celebrating A Decade of Hope and Healing,,Saint James City,FL,33956
250,1/28/25,$25.87 ,Recurring Donation Payment,Unrestricted,,,Columbus,OH,43235
8202,1/27/25,$50.00 ,Donation,Unrestricted,2025 Celebrating A Decade of Hope and Healing,,Dublin,OH,43016
10827,1/27/25,$330.00 ,Donation,Unrestricted,2025 Celebrating A Decade of Hope and Healing,,Grove City,OH,43123
1707,1/27/25,"$5,000.00 ",Donation,Unrestricted,2025 Celebrating A Decade of Hope and Healing,,NEW ALBANY,OH,43054
10826,1/26/25,$0.00 ,Donation,Unrestricted,Sam's Fans 2024,,Dublin,OH,43016
10825,1/26/25,$26.31 ,Donation,Unrestricted,2025 Celebrating A Decade of Hope and Healing,,Columbus,OH,43220
1334,1/26/25,$204.81 ,Recurring Donation Payment,Unrestricted,,,Columbus,OH,43085-7216
8677,1/25/25,$27.35 ,Recurring Donation Payment,Unrestricted,Sam's Fans 2024,,Mount Vernon,OH,43050
726,1/25/25,$24.23 ,Recurring Donation Payment,Unrestricted,Sam's Fans 2024,BTJ Website,Columbus,OH,43220
8225,1/24/25,$26.31 ,Recurring Donation Payment,Unrestricted,Sam's Fans 2024,,Dublin,OH,43016
2041,1/24/25,$104.30 ,Recurring Donation Payment,Unrestricted,Sam's Fans 2024,BTJ Website,Columbus,OH,43221
268,1/24/25,$52.30 ,Recurring Donation Payment,Unrestricted,Sam's Fans 2024,BTJ Website,Tavares,FL,32778
1239,1/24/25,$52.30 ,Donation,Unrestricted,2025 Celebrating A Decade of Hope and Healing,,Kew Gardens,NY,11415
9677,1/23/25,$24.23 ,Recurring Donation Payment,Unrestricted,Sam's Fans 2024,BTJ Website,Sewickley,PA,15143
535,1/22/25,$26.31 ,Recurring Donation Payment,Unrestricted,Sam's Fans 2024,,Columbus,OH,43214
163,1/20/25,$22.80 ,Recurring Donation Payment,Unrestricted,,,Powell,OH,43065
165,1/18/25,$104.30 ,Recurring Donation Payment,Unrestricted,Sam's Fans 2024,BTJ Website,Beavercreek,OH,45434
535,1/18/25,$26.31 ,Recurring Donation Payment,Unrestricted,Sam's Fans 2024,BTJ Website,Columbus,OH,43214
8231,1/18/25,$20.76 ,Recurring Donation Payment,Unrestricted,,,Columbus,OH,43214-4014
10589,1/17/25,$500.00 ,Donation,Nationwide Childen's Hospital,Sam's Fans 2024,,,,
2139,1/17/25,$78.30 ,Recurring Donation Payment,Unrestricted,Sam's Fans 2024,,Galena,OH,43021
1566,1/15/25,$52.30 ,Recurring Donation Payment,Unrestricted,Sam's Fans 2024,,Darien,CT,06820-3204
10382,1/15/25,$21.11 ,Recurring Donation Payment,Unrestricted,Sam's Fans 2024,,Columbus,OH,43214
9739,1/15/25,$24.23 ,Recurring Donation Payment,Unrestricted,Sam's Fans 2024,BTJ Website,Dublin,OH,43017
9068,1/15/25,$15.91 ,Recurring Donation Payment,Unrestricted,Sam's Fans 2024,Donation Form Ask,columbus,OH,43235
383,1/15/25,$100.00 ,Recurring Donation Payment,Unrestricted,,,Bremerton,WA,98312
1104,1/14/25,$100.00 ,Donation,Unrestricted,Sam's Fans 2024,2024 Year End Campaign,Elsberry,MO,63343
10570,1/14/25,$75.00 ,Donation,Unrestricted,Sam's Fans 2024,2024 Year End Campaign,Westerville,OH,43082
8857,1/14/25,$50.00 ,Donation,Unrestricted,Sam's Fans 2024,2024 Year End Campaign,Philadelphia,PA,15218
9188,1/14/25,"$1,000.00 ",Donation,Unrestricted,Sam's Fans 2024,2024 Year End Campaign,Stoutsville,OH,43154
181,1/14/25,$250.00 ,Donation,Unrestricted,Sam's Fans 2024,2024 Year End Campaign,DUBLIN,OH,43017
551,1/14/25,"$1,000.00 ",Donation,Unrestricted,Sam's Fans 2024,2024 Year End Campaign,Saint Louis,MO,63122
10824,1/14/25,"$1,000.00 ",Donation,Unrestricted,Sam's Fans 2024,2024 Year End Campaign,Columbus,OH,43202
1417,1/14/25,$100.00 ,Donation,Unrestricted,Sam's Fans 2024,2024 Year End Campaign,Fairview Park,OH,44126
8831,1/14/25,$25.87 ,Recurring Donation Payment,Unrestricted,,,Columbus,OH,43221
8575,1/12/25,$26.31 ,Recurring Donation Payment,Unrestricted,Sam's Fans 2024,,Sammamish,WA,98074
1231,1/12/25,$20.00 ,Recurring Donation Payment,Unrestricted,Sam's Fans 2024,,Edgewater,FL,32132-6942
752,1/12/25,$102.56 ,Recurring Donation Payment,Unrestricted,,,Columbus,OH,43214
